Adsorbate 1,Adsorbate 2,Gco DFT,Gc-c_Final,Gc-c_Final,Gc-c_Final,Gc-c_Final,Gc-c_Final,Averaged Gco
CH,Br,0.1083,0.1083,0.1083,0.1083,0.1083,0.1083,0.1083
CH,I,,0.072967604,0.084363505,0.082702011,0.138851777,0.182993025,0.112375584
CH2,O,,0.030776571,0.079438083,0.105222322,0.094060451,0.107169211,0.083333328
CH2,OH,,0.151440278,0.149621278,0.108998105,0.069244727,0.133182943,0.122497466
CH2,N,,0.181090251,0.173899382,0.134353548,0.177285001,0.16486907,0.16629945
CH2,NH,,0.004467354,-0.004744187,0.065316983,0.050638247,-0.011853797,0.02076492
CH2,NH2,,0.06833943,0.052460313,0.03950984,0.001916043,-0.028839879,0.02667715
CH2,NH3,,0.192943379,0.185293019,0.086834498,0.062956385,0.036126792,0.112830815
CH2,C,,0.108307786,0.105234809,0.140925199,0.142259583,0.105440177,0.120433511
CH2,CH,,0.054001302,0.070477225,0.059684027,0.111916773,0.057883658,0.070792597
CH2,CH2,,0.001240748,0.032724507,0.043900862,0.032386445,-0.016153574,0.018819798
CH2,CH3,,0.100784861,0.108944215,0.106994949,0.015174953,0.055423081,0.077464412
CH2,S,,0.093490742,0.093771994,0.142415211,0.125987858,0.144489914,0.120031144
CH2,SH,0.13804,0.13804,0.13804,0.13804,0.13804,0.13804,0.13804
CH2,SH2,0.18746,0.18746,0.18746,0.18746,0.18746,0.18746,0.18746
CH2,F,,0.134421587,0.175338075,0.134128034,0.141639531,0.162354723,0.14957639
CH2,Cl,,0.227604955,0.203229398,0.203175724,0.166261226,0.1696513,0.19398452
CH2,Br,0.16344,0.16344,0.16344,0.16344,0.16344,0.16344,0.16344
CH2,I,,0.131110847,0.162348062,0.152347386,0.202215821,0.186471403,0.166898704
CH3,O,,0.235106334,0.187174112,0.204087839,0.261486709,0.161209345,0.209812868
CH3,OH,,0.150023937,0.158629179,0.160653502,0.143880785,0.12189588,0.147016656
CH3,N,0.15794,0.15794,0.15794,0.15794,0.15794,0.15794,0.15794
CH3,NH,0.13838,0.13838,0.13838,0.13838,0.13838,0.13838,0.13838
CH3,NH2,,0.15546608,0.170934677,0.152484834,0.155434728,0.126083657,0.152080795
CH3,NH3,,0.19424592,0.177143857,0.1207688,0.106008522,0.041936986,0.128020817
CH3,C,,0.178556785,0.177609608,0.191383317,0.172703728,0.161201432,0.176290974
CH3,CH,,0.035882667,0.071565054,0.146490023,0.114796974,0.142843723,0.102315688
CH3,CH2,,0.099672407,0.11342106,0.16086185,0.107821018,0.146173611,0.125589989
CH3,CH3,,0.186790824,0.19156304,0.10439112,0.091598347,0.057128791,0.126294424
CH3,S,0.21971,0.21971,0.21971,0.21971,0.21971,0.21971,0.21971
CH3,SH,,0.252476245,0.222523272,0.210399911,0.238936841,0.222406462,0.229348546
CH3,SH2,,0.254668295,0.18442294,0.194396362,0.195961803,0.173843652,0.20065861
CH3,F,0.24301,0.24301,0.24301,0.24301,0.24301,0.24301,0.24301
CH3,Cl,,0.296775401,0.263210982,0.247480154,0.24356851,0.269415647,0.264090139
CH3,Br,,0.253655285,0.250153273,0.216182917,0.216091856,0.225150079,0.232246682
CH3,I,,0.288177729,0.288523883,0.222980633,0.280651808,0.240592942,0.264185399
S,O,,0.194292083,0.131938532,0.1736276,0.135719731,0.129129514,0.152941492
S,OH,,0.216837302,0.230391264,0.191660717,0.200834721,0.17085354,0.202115509
S,N,0.09243,0.09243,0.09243,0.09243,0.09243,0.09243,0.09243
S,NH,,0.187671661,0.133134142,0.167019457,0.135719731,0.154122323,0.155533463
S,NH2,0.18156,0.18156,0.18156,0.18156,0.18156,0.18156,0.18156
S,NH3,,0.222197801,0.231380954,0.179289967,0.217341453,0.184465289,0.206935093
S,C,,0.130034551,0.121322826,0.126725152,0.157686353,0.245170042,0.156187785
S,CH,,0.207755148,0.168145567,0.158424363,0.168697894,0.153802291,0.171365052
S,CH2,,0.220880032,0.12419311,0.193727002,0.168435588,0.154863209,0.172419788
S,CH3,0.21971,0.21971,0.21971,0.21971,0.21971,0.21971,0.21971
S,S,,0.058377784,0.059643608,0.094222203,0.160553947,0.165387228,0.107636954
S,SH,0.15702,0.15702,0.15702,0.15702,0.15702,0.15702,0.15702
S,SH2,,0.194944635,0.197092652,0.176086217,0.16961512,0.189895302,0.185526785
S,F,,0.190908894,0.225032017,0.211488068,0.195468962,0.170817733,0.198743135
S,Cl,,0.226244062,0.204406813,0.207303256,0.248088658,0.152917162,0.20779199
S,Br,,0.110030316,0.133280113,0.180890322,0.197984874,0.18374522,0.161186169
S,I,,0.124629699,0.163535133,0.167262182,0.176905423,0.172897473,0.161045982
SH,O,,0.165459678,0.195607632,0.222366199,0.247589827,0.107388824,0.187682432
SH,OH,,0.32630533,0.336926281,0.30660218,0.300334245,0.252273381,0.304488283
SH,N,,0.040773775,0.073010311,0.084606588,0.106267601,0.043705657,0.069672786
SH,NH,,0.131263897,0.116511449,0.134056956,0.201488987,0.153544217,0.147373101
SH,NH2,,0.202939883,0.177216992,0.210949972,0.215409711,0.217666507,0.204836613
SH,NH3,,0.206728444,0.214813456,0.152453601,0.197364062,0.203699693,0.195011851
SH,C,,0.187777013,0.168438971,0.174850002,0.219464451,0.129372582,0.175980604
SH,CH,0.04467,0.04467,0.04467,0.04467,0.04467,0.04467,0.04467
SH,CH2,0.13804,0.13804,0.13804,0.13804,0.13804,0.13804,0.13804
SH,CH3,,0.233595088,0.225278586,0.208007276,0.220911548,0.188835189,0.215325537
SH,S,0.15702,0.15702,0.15702,0.15702,0.15702,0.15702,0.15702
SH,SH,,0.223285213,0.21067977,0.177437529,0.193383753,0.149164304,0.190790114
SH,SH2,0.16409,0.16409,0.16409,0.16409,0.16409,0.16409,0.16409
SH,F,0.21162,0.21162,0.21162,0.21162,0.21162,0.21162,0.21162
SH,Cl,,0.352666557,0.374264568,0.31334725,0.325562656,0.237891361,0.320746478
SH,Br,0.27333,0.27333,0.27333,0.27333,0.27333,0.27333,0.27333
SH,I,,0.249526724,0.259676874,0.274708778,0.278209567,0.285395116,0.269503412
SH2,O,,0.230827227,0.289885372,0.208689943,0.244446456,0.208225489,0.236414897
SH2,OH,0.35318,0.35318,0.35318,0.35318,0.35318,0.35318,0.35318
SH2,N,,0.154253662,0.155464172,0.249943197,0.189007983,0.138536662,0.177441135
SH2,NH,,0.199051857,0.199798018,0.236543238,0.215772554,0.058492362,0.181931606
SH2,NH2,,0.218591124,0.160298154,0.240729526,0.152997404,0.137059301,0.181935102
SH2,NH3,,0.227394834,0.169087112,0.210239559,0.175980911,0.180807263,0.192701936
SH2,C,,0.190171242,0.201497152,0.223442525,0.271384239,0.265008092,0.23030065
